id,c,mask
"0","35529, 13, 359, 275, 783, 253, 9129, 747, 45660, 12435, 452, 985, 275, 281, 47692, 320, 625, 6600, 285, 3950, 1533, 21198, 1805, 39433, 327, 281, 2969, 6016, 436, 285, 512, 15, 359, 8723, 13353, 513, 417, 382, 3811, 594, 2997, 326, 281, 1462, 275, 686, 3354, 627, 74, 1430, 8, 273, 310, 1679, 253, 26892, 8063, 3473, 273, 271, 327, 16100, 4831, 326, 1930, 310, 285, 3103, 13, 1679, 11903, 1320, 33882, 13757, 273, 14099, 273, 323, 994, 16947, 273, 12189, 5299, 10450, 13, 285, 7384, 326, 8149, 6186, 1930, 15, 310, 1900, 347, 247, 9680, 1436, 1679, 685, 4831, 13, 359, 13353, 513, 15, 417, 275, 452, 30197, 281, 280, 2997, 11727, 627, 310, 253, 7000, 8946, 1899, 8813, 326, 686, 66, 985, 1698, 275, 4831, 273, 310, 253, 1682, 4500, 5983, 6297, 281, 2139, 984, 13, 6266, 849, 776, 4831, 6186, 13989, 310, 13757, 273, 45849, 8037, 285, 627, 310, 253, 2550, 320, 13757, 5161, 604, 359, 7596, 23103, 323, 327, 1966, 686, 676, 4831, 8, 14099, 285, 46449, 273, 776, 1495, 3103, 13, 1046, 3811, 16100, 15, 1436, 359, 651, 285, 2581, 789, 562, 5948, 275, 2087, 1364, 452, 4831, 47443, 15, 247, 45290, 1566, 253, 273, 4980, 12264, 8668, 686, 23739, 16100, 671, 8, 25957, 670, 326, 40581, 253, 598, 10135, 285, 2616, 313, 275, 1046, 1896, 3284, 285, 19773, 352, 2216, 285, 45018, 824, 2969, 11339, 247, 10, 1566, 273, 5511, 281, 776, 14099, 326, 3091, 8063, 281, 320, 512, 452, 1805, 8588, 2963, 885, 285, 13757, 5122, 45985, 275, 3367, 285, 15, 359, 651, 2581, 2997, 686, 973, 36478, 347, 38058, 6186, 1495, 285, 45985, 3811, 8, 15, 253, 686, 8402, 382, 8, 285, 2746, 34220, 1453, 689, 512, 3275, 4870, 273, 281, 253, 1495, 3811, 310, 985, 671, 247, 13, 3185, 273, 247, 41510, 686, 676, 1684, 4831, 9058, 8, 15, 985, 15","1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1"
"1","2484, 261, 783, 468, 11373, 387, 247, 6362, 34034, 574, 285, 2489, 1869, 670, 9338, 1113, 1811, 434, 34034, 835, 703, 28187, 347, 24476, 12074, 285, 13, 42078, 1113, 1811, 284, 9047, 14240, 13, 285, 273, 17819, 9097, 3176, 275, 253, 15, 973, 13, 2686, 13, 1113, 1811, 651, 10583, 1333, 597, 28187, 617, 15, 285, 352, 10654, 369, 8253, 271, 8644, 2867, 326, 703, 3078, 689, 281, 1056, 715, 253, 2867, 247, 12435, 19015, 323, 15, 352, 369, 2571, 281, 2793, 6330, 4950, 285, 2389, 15, 247, 1643, 326, 627, 2607, 369, 2720, 1014, 13, 24476, 574, 644, 247, 2183, 407, 617, 22591, 326, 19661, 253, 34034, 369, 7765, 7552, 247, 6422, 5202, 25584, 13, 323, 5877, 247, 253, 2341, 273, 247, 2846, 13255, 5202, 13, 273, 1708, 15, 13515, 17096, 13, 285, 7925, 271, 41290, 507, 275, 23087, 5968, 13, 20280, 4344, 327, 447, 253, 13, 18976, 6819, 13, 285, 29828, 3407, 2659, 15, 281, 3176, 24476, 7636, 15, 253, 597, 574, 34034, 644, 17189, 15, 407, 247, 6362, 281, 627, 369, 2794, 247, 9096, 273, 1708, 275, 253, 479, 7240, 10721, 11678, 15, 285, 617, 2798, 253, 1735, 1388, 247, 594, 1096, 6362, 10793, 285, 521, 8470, 1456, 14965, 574, 18017, 5420, 275, 253, 479, 8169, 281, 617, 7240, 15, 15","0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1"
"2","35861, 281, 260, 4611, 20415, 32097, 275, 3563, 4050, 562, 13, 253, 33065, 285, 1966, 954, 1959, 3570, 2586, 21424, 369, 285, 747, 8460, 14756, 11318, 342, 4585, 254, 556, 9606, 4832, 13716, 12748, 275, 616, 1495, 273, 854, 673, 15, 285, 690, 3655, 11372, 2471, 562, 273, 13, 337, 690, 273, 1157, 16613, 594, 7732, 665, 3534, 616, 253, 6657, 273, 253, 1495, 323, 1966, 3570, 275, 4980, 1959, 2892, 403, 441, 4007, 1533, 310, 490, 20336, 4335, 9843, 480, 298, 2116, 14695, 2234, 313, 19, 13, 16172, 249, 854, 1246, 4104, 298, 2387, 273, 16580, 6963, 480, 747, 14756, 11318, 83, 15, 278, 285, 83, 275, 2080, 15, 2892, 480, 480, 2116, 2234, 265, 12431, 316, 352, 37622, 273, 295, 15, 1370, 40654, 15, 344, 480, 265, 588, 316, 253, 1682, 476, 7431, 323, 320, 1735, 2783, 347, 806, 16172, 14385, 90, 433, 323, 2087, 846, 1966, 3570, 15, 278, 8913, 1368, 15416, 3534, 4503, 3570, 281, 2255, 25130, 12334, 3426, 521, 1307, 285, 15, 637, 1918, 253, 285, 512, 14965, 6152, 347, 4879, 275, 37720, 835, 6152, 266, 310, 1955, 15, 15","0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1"
"3","74, 74, 5439, 619, 3543, 34036, 619, 2454, 275, 26363, 6966, 342, 15, 368, 26326, 13, 285, 891, 1871, 369, 969, 1073, 13083, 619, 513, 326, 4116, 281, 1633, 2010, 15, 952, 275, 2819, 253, 2846, 387, 779, 323, 1512, 497, 1620, 436, 11453, 13, 285, 1048, 369, 954, 751, 273, 17303, 387, 253, 5101, 253, 12302, 673, 533, 8312, 597, 15, 973, 13, 5717, 368, 15, 5082, 891, 1353, 4804, 342, 626, 20848, 281, 1361, 619, 562, 34034, 26141, 10873, 5734, 597, 3264, 4131, 281, 564, 689, 1633, 275, 247, 1618, 273, 2093, 373, 15, 812, 368, 1091, 1705, 15, 323, 326, 352, 891, 651, 320, 5322, 476, 626, 281, 452, 3095, 2010, 1060, 665, 2075, 6057, 752, 434, 368, 6326, 15, 281, 891, 320, 2218, 29550, 15, 15","0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1"
"4","1257, 15593, 369, 74, 14728, 275, 253, 18657, 1598, 762, 2316, 1078, 359, 521, 812, 1014, 15944, 8722, 281, 18093, 15, 2134, 672, 344, 9361, 369, 15, 458, 6584, 6225, 598, 2822, 40777, 314, 479, 285, 13, 891, 1694, 247, 2120, 1859, 891, 273, 3543, 751, 891, 4571, 626, 37007, 10507, 27929, 26880, 272, 619, 10450, 432, 521, 779, 15, 891, 42439, 4571, 788, 2420, 626, 299, 15831, 1408, 281, 13, 521, 1904, 33845, 626, 1663, 971, 281, 15, 891, 787, 6093, 1408, 13, 285, 22944, 619, 2927, 1977, 594, 326, 432, 1669, 479, 253, 10960, 19270, 273, 521, 2820, 281, 1232, 256, 3253, 747, 344, 1871, 12729, 45264, 949, 521, 27929, 48752, 285, 896, 15, 281, 521, 352, 369, 16400, 15, 2454, 15","0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0"
"5","74, 74, 1691, 1353, 417, 2021, 4543, 1066, 1014, 2783, 253, 247, 2810, 3331, 13, 11547, 285, 533, 891, 3260, 1869, 891, 670, 619, 4864, 13329, 574, 342, 281, 564, 281, 270, 617, 35327, 15, 20915, 594, 891, 812, 3894, 342, 359, 305, 1221, 5756, 1313, 407, 253, 3486, 617, 7343, 20606, 574, 13, 533, 327, 703, 479, 15, 14435, 891, 4925, 323, 253, 4331, 285, 619, 16832, 1495, 327, 619, 1930, 11617, 342, 617, 3000, 2829, 13, 3531, 273, 281, 253, 3239, 15799, 323, 22688, 2037, 13, 285, 285, 4159, 270, 12091, 35327, 275, 6278, 1458, 15, 891, 369, 273, 9861, 247, 407, 6009, 253, 6864, 273, 619, 285, 15838, 31917, 326, 15, 891, 760, 574, 891, 581, 3078, 281, 24585, 516, 17255, 7827, 15, 891, 342, 1353, 247, 5882, 617, 44715, 326, 7122, 13, 12516, 533, 891, 3543, 347, 604, 952, 275, 891, 574, 776, 3663, 4852, 672, 247, 11761, 359, 3331, 15, 275, 247, 1039, 13, 878, 891, 574, 15, 891, 2335, 247, 36577, 273, 731, 619, 13, 1024, 285, 246, 47163, 8574, 13, 18274, 896, 275, 619, 43834, 7068, 270, 13, 285, 4581, 619, 2927, 15, 35327, 619, 369, 521, 7906, 4327, 39147, 896, 323, 479, 281, 15, 253, 1388, 359, 1313","0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1"
"6","23, 24, 660, 4305, 604, 15303, 2087, 604, 689, 6480, 512, 43813, 49448, 7815, 660, 23255, 253, 4305, 19841, 390, 5194, 604, 326, 689, 608, 43813, 7815, 23255, 10636, 13, 840, 253, 15303, 29018, 824, 6197, 2087, 778, 310, 390, 878, 417, 1642, 10281, 13, 49448, 840, 24555, 597, 778, 313, 1302, 16006, 263, 878, 281, 2523, 247, 6197, 417, 10, 2523, 281, 14875, 247, 390, 13194, 6197, 253, 4335, 9843, 390, 385, 4335, 281, 14875, 23885, 5393, 275, 390, 18360, 15, 13194, 253, 3061, 253, 4335, 9843, 273, 15, 15303, 2087, 588, 320, 253, 2457, 327, 436, 3061, 273, 2523, 660, 4305, 285, 253, 588, 4754, 320, 1385, 588, 417, 320, 4865, 327, 2457, 285, 779, 15, 4754, 253, 9372, 15303, 588, 417, 2087, 588, 2748, 247, 10955, 320, 11253, 4865, 327, 731, 273, 512, 660, 4305, 281, 7617, 15, 15","0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1"
"7","43314, 43314, 13, 1146, 581, 3261, 5958, 2169, 387, 13, 40819, 455, 285, 11898, 6960, 253, 45758, 281, 3213, 9255, 15, 344, 5966, 521, 1481, 15, 752, 8334, 858, 17699, 285, 368, 3047, 247, 1643, 35089, 755, 5497, 18197, 715, 1024, 285, 891, 3553, 368, 7753, 3815, 323, 18197, 15, 247, 1652, 1223, 285, 13, 40819, 973, 455, 13, 13, 1007, 387, 368, 344, 18017, 15, 344, 344, 11373, 13, 285, 6337, 281, 253, 46922, 40819, 13, 455, 6726, 247, 285, 9012, 247, 15339, 15, 13781, 15, 752, 368, 1833, 434, 1620, 3430, 5476, 342, 779, 1161, 2971, 752, 787, 891, 3047, 4405, 432, 253, 264, 15, 6026, 273, 344, 253, 458, 251, 261, 4453, 11527, 15, 964","0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1"
"8","74, 91, 3703, 3735, 3735, 326, 15, 4754, 13, 891, 717, 253, 8530, 17747, 345, 2184, 665, 40724, 952, 434, 253, 15447, 15, 352, 434, 3590, 273, 417, 247, 3076, 42554, 2900, 672, 417, 15, 1199, 2739, 310, 2130, 275, 20284, 436, 629, 273, 253, 1533, 973, 13, 352, 434, 617, 2927, 417, 1077, 1175, 323, 1110, 952, 1146, 22186, 13, 13, 703, 3047, 533, 387, 499, 1878, 619, 9181, 6068, 273, 11283, 476, 11883, 15, 846, 12200, 247, 11216, 11557, 273, 285, 3212, 22569, 13, 731, 15, 253, 4318, 7560, 969, 15, 13595, 616, 13, 352, 5139, 554, 434, 480, 7391, 634, 264, 13476, 1388, 281, 15, 9403, 891, 651, 247, 5159, 368, 5982, 285, 3523, 512, 273, 634, 15, 9647, 253, 281, 3923, 3997, 619, 18409, 13, 533, 2813, 891, 1833, 1339, 368, 327, 253, 564, 13595, 604, 368, 3553, 253, 434, 3168, 5599, 13, 253, 1133, 19294, 3168, 3226, 31311, 13, 275, 285, 253, 253, 1980, 3448, 5139, 554, 273, 281, 479, 253, 15, 891, 1849, 1900, 9647, 3078, 281, 6008, 327, 253, 247, 3168, 9988, 275, 2914, 3416, 13, 273, 594, 3063, 310, 731, 619, 13476, 1388, 15, 15, 15278, 15786, 752, 513, 368, 15, 1333","1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1"
"9","24, 5430, 476, 247, 2032, 15, 3714, 2107, 6983, 80, 6983, 382, 4828, 1346, 588, 436, 10480, 4831, 4828, 841, 298, 11118, 536, 17183, 13460, 1754, 46349, 342, 391, 1206, 5199, 987, 285, 25437, 281, 7286, 6983, 298, 1754, 536, 17183, 391, 1206, 34510, 5199, 627, 403, 1677, 767, 3862, 275, 13885, 9050, 273, 6983, 7259, 11118, 608, 1754, 285, 7286, 964, 1754, 15, 253, 11118, 1754, 7259, 310, 18464, 13, 9116, 21291, 285, 6685, 8214, 323, 564, 499, 20282, 84, 5513, 313, 16736, 84, 588, 1408, 8446, 715, 326, 14208, 608, 368, 591, 23800, 582, 1223, 7286, 403, 1754, 7259, 452, 417, 22879, 6890, 6387, 9400, 273, 9116, 13, 533, 368, 285, 2105, 310, 1698, 403, 313, 2967, 495, 1335, 5015, 670, 298, 323, 536, 17183, 23800, 534, 12075, 281, 608, 1349, 885, 760, 285, 1996, 13, 5058, 323, 564, 326, 987, 20282, 281, 481, 5747, 6983, 298, 436, 13, 253, 3714, 2107, 536, 80, 17183, 310, 6983, 1346, 588, 4831, 11118, 2905, 281, 1754, 298, 536, 17183, 5199, 285, 3021, 15, 1918, 672, 841, 5107, 298, 536, 17183, 281, 3270, 13460, 6983, 1346, 46349, 25437, 391, 326, 987, 281, 6983, 1206, 5199, 298, 536, 17183, 13, 310, 597, 588, 440, 87, 755, 6051, 7329, 15, 2464","1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0"
