datapointID,class_label,spline_coeffs,stability_index
train_00000,1,0.00000;0.02119;0.34689;0.36802;0.42044;0.71349;0.78013;0.78996;0.88554;1.00000,0.6140383195155577
train_00001,-1,0.00000;0.02416;0.35783;0.45444;0.50084;0.52095;0.54893;0.78156;0.93084;1.00000,0.44854691501808786
train_00002,29,0.00000;0.13640;0.31138;0.31193;0.56215;0.71923;0.73213;0.76973;0.81557;1.00000,0.460909320346667
train_00003,5,0.00000;0.04745;0.05826;0.08907;0.33323;0.62350;0.65711;0.68555;0.84858;1.00000,0.47054698382930893
train_00004,9,0.00000;0.01873;0.19622;0.24226;0.47212;0.52776;0.58039;0.92722;0.98026;1.00000,0.20804321107894996
train_00005,40,0.00000;0.03121;0.29909;0.31590;0.64294;0.66011;0.71829;0.73711;0.89039;1.00000,0.5313464576250692
train_00006,6,0.00000;0.26815;0.28432;0.47940;0.55665;0.72855;0.77551;0.80682;0.85288;1.00000,0.3799714925489719
train_00007,7,0.00000;0.13324;0.20517;0.35420;0.35914;0.48688;0.57929;0.64978;0.91819;1.00000,0.26382017362572496
train_00008,-1,0.00000;0.15199;0.24301;0.32501;0.36701;0.53168;0.53855;0.53867;0.69291;1.00000,0.32228411802462487
train_00009,-1,0.00000;0.04715;0.06385;0.15015;0.18663;0.49944;0.54697;0.65269;0.96104;1.00000,0.5915733892251243
train_00010,13,0.00000;0.01246;0.22058;0.23528;0.39351;0.50248;0.81003;0.85225;0.86601;1.00000,0.5833068226028398
train_00011,-1,0.00000;0.11479;0.36690;0.72668;0.77176;0.77826;0.91343;0.91797;0.99330;1.00000,0.3743533950259349
train_00012,-1,0.00000;0.11989;0.37642;0.66615;0.70617;0.79635;0.84188;0.96331;0.97492;1.00000,0.32441000137390796
train_00013,38,0.00000;0.07227;0.09047;0.12985;0.15303;0.44099;0.54771;0.67954;0.71438;1.00000,0.49139340482597654
train_00014,47,0.00000;0.11419;0.12645;0.23124;0.24061;0.75711;0.83904;0.89375;0.91663;1.00000,0.37207475423982894
train_00015,25,0.00000;0.24759;0.27935;0.30539;0.31681;0.46481;0.59589;0.84864;0.98072;1.00000,0.6244589918984428
train_00016,36,0.00000;0.21332;0.32024;0.51432;0.52051;0.69137;0.75156;0.90707;0.94736;1.00000,0.3918074544182312
train_00017,41,0.00000;0.00466;0.06890;0.33572;0.45369;0.49432;0.60096;0.62763;0.67713;1.00000,0.6207498331786285
train_00018,23,0.00000;0.07093;0.16013;0.16930;0.18198;0.38161;0.40166;0.64053;0.74888;1.00000,0.5161671359907183
train_00019,10,0.00000;0.04658;0.25044;0.40852;0.55352;0.60111;0.66072;0.81605;0.93588;1.00000,0.39563504048375686
train_00020,49,0.00000;0.36028;0.36319;0.40213;0.45643;0.75019;0.87325;0.87747;0.93752;1.00000,0.2725292685840717
train_00021,42,0.00000;0.28597;0.29563;0.38328;0.45810;0.55971;0.79050;0.93051;0.96354;1.00000,0.6814814128523796
train_00022,45,0.00000;0.15598;0.34693;0.36852;0.52747;0.74223;0.82157;0.90204;0.93399;1.00000,0.3362695403047157
train_00023,2,0.00000;0.21592;0.26302;0.50887;0.54130;0.61678;0.83456;0.83922;0.98972;1.00000,0.4162110977288192
train_00024,15,0.00000;0.07673;0.17091;0.31714;0.34059;0.69901;0.81271;0.88061;0.99852;1.00000,0.39697779050466026
train_00025,-1,0.00000;0.13423;0.32271;0.41637;0.50179;0.53841;0.84765;0.87298;0.91391;1.00000,0.5203513343087256
train_00026,2,0.00000;0.58884;0.74922;0.75955;0.82858;0.83693;0.88533;0.89504;0.93598;1.00000,0.3470178427979481
train_00027,12,0.00000;0.08333;0.08353;0.15879;0.22853;0.54322;0.59711;0.60383;0.71510;1.00000,0.5718724972698951
train_00028,-1,0.00000;0.02848;0.31449;0.33447;0.45519;0.48827;0.64168;0.80596;0.86371;1.00000,0.45747299524851054
