"id","source","country_or_region","year","round","task_name","domain","ceoai_tags","ioai_tags","local_path","source_url","download_status","license","priority","notes"
"ioai_2025_repo","IOAI official GitHub","Global IOAI","2025","all","IOAI 2025 repository","mixed","CEOAI 2; CEOAI 3; CEOAI 4; CEOAI 5","ML; NLP; CV; GAITE","raw/IOAI-2025-sparse","https://github.com/IOAI-official/IOAI-2025","downloaded_sparse","CC-BY-4.0","high","Sparse clone includes README, requirements, task notebooks, and solution notebooks; large datasets not mirrored."
"ioai_2025_at_home_radar","IOAI official GitHub","Global IOAI","2025","at-home","Radar","ML; signal/tabular","CEOAI 2(a); CEOAI 2(d); CEOAI 3(a)","ML workflow","raw/IOAI-2025-sparse/At-Home-Round/Radar/Radar.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/At-Home-Round/Radar","downloaded_sparse","CC-BY-4.0","very_high","Practice-round style; good baseline/feature/metric task."
"ioai_2025_at_home_chameleon","IOAI official GitHub","Global IOAI","2025","at-home","Chameleon","CV; generative","CEOAI 5(c); CEOAI 3(d)","CV; generative","raw/IOAI-2025-sparse/At-Home-Round/Chameleon/Chameleon.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/At-Home-Round/Chameleon","downloaded_sparse","CC-BY-4.0","medium","Generative/CV model-editing style; useful after core ML/DL."
"ioai_2025_at_home_weather","IOAI official GitHub","Global IOAI","2025","at-home","Weather","CV/time series","CEOAI 5(a); CEOAI 3(c)","CV; forecasting","raw/IOAI-2025-sparse/At-Home-Round/Weather/Weather.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/At-Home-Round/Weather","downloaded_sparse","CC-BY-4.0","high","Forecasting/image-like data pattern; good for shape and validation practice."
"ioai_2025_radar","IOAI official GitHub","Global IOAI","2025","individual","Radar","ML; signal/tabular","CEOAI 2(a); CEOAI 2(d); CEOAI 3(a)","ML workflow","raw/IOAI-2025-sparse/Individual-Contest/Radar/Radar.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Radar","downloaded_sparse","CC-BY-4.0","very_high","On-site continuation of at-home style; strong CEOAI sample."
"ioai_2025_chicken_counting","IOAI official GitHub","Global IOAI","2025","individual","Chicken Counting","CV","CEOAI 5(a); CEOAI 5(b); CEOAI 3(c)","CV; counting","raw/IOAI-2025-sparse/Individual-Contest/Chicken_Counting/Chicken_Counting.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Chicken_Counting","downloaded_sparse","CC-BY-4.0","very_high","Concrete CV pipeline with image metric/submission flavor."
"ioai_2025_concepts","IOAI official GitHub","Global IOAI","2025","individual","Concepts","NLP; LLM reasoning","CEOAI 4(b); CEOAI 4(c); CEOAI 3(c)","NLP; embeddings; LLM","raw/IOAI-2025-sparse/Individual-Contest/Concepts/Concepts.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Concepts","downloaded_sparse","CC-BY-4.0","very_high","High-value NLP/embedding/LLM workflow; use for CEOAI NLP routing."
"ioai_2025_restroom","IOAI official GitHub","Global IOAI","2025","individual","Restroom Icon Matching","CV; matching","CEOAI 5(a); CEOAI 5(c); CEOAI 3(c)","CV; embeddings","raw/IOAI-2025-sparse/Individual-Contest/Restroom/Restroom.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Restroom","downloaded_sparse","CC-BY-4.0","high","Visual matching/embedding task; likely relevant to CEOAI CV."
"ioai_2025_antique","IOAI official GitHub","Global IOAI","2025","individual","Antique Painting Authentication","CV; classification","CEOAI 5(a); CEOAI 5(b); CEOAI 3(c)","CV; classification","raw/IOAI-2025-sparse/Individual-Contest/Antique/Antique.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Antique","downloaded_sparse","CC-BY-4.0","high","Image authentication/classification; good transfer-learning practice."
"ioai_2025_pixel","IOAI official GitHub","Global IOAI","2025","individual","Pixel Efficiency","CV; optimization","CEOAI 5(a); CEOAI 3(b)","CV; optimization","raw/IOAI-2025-sparse/Individual-Contest/Pixel/Pixel.ipynb","https://github.com/IOAI-official/IOAI-2025/tree/main/Individual-Contest/Pixel","downloaded_sparse","CC-BY-4.0","high","Optimization-under-constraints style; good contest pressure task."
