Date,Time,Topic
2026-04-25,All Day,Πανδώρα PDTN
2026-05-20,06:15 PM - 06:45 PM,PDTN meeting
2026-06-20,11:00 AM - 02:00 PM,Διάλεξη ΠΔΤΝ - Εισαγωγή στη μηχανική μάθηση
2026-06-22,03:00 PM - 06:00 PM,PDTN 2026: Classical ML (2/2): Ensemble learning
2026-06-24,10:00 AM - 01:00 PM,PDTN 2026: Neural Networks
2026-06-26,All Day,PDTN 2026: Old Topics
2026-06-29,All Day,PDTN 2026: Natural Language Processing (flipped classroom)
2026-06-29,11:00 AM - 02:00 PM,Διάλεξη - NLP Flipped Classroom
2026-07-01,10:00 AM - 01:00 PM,Διάλεξη ΠΔΤΝ - Adversarial Trianing, GANs, Diffusion models
2026-07-03,10:00 AM - 01:00 PM,PDTN 2026: Audio
2026-07-06,10:00 AM - 01:00 PM,"PDTN 2026: Clustering, Feature Engineering, Dimensionality Reduction"
2026-07-08,10:00 AM - 01:00 PM,PDTN 2026: Reinforcement Learning & AI Search
2026-07-10,03:00 PM - 06:00 PM,PDTN 2026: Computer Vision
2026-07-22,10:00 AM - 01:00 PM,PDTN 2026: Audio
2026-07-24,All Day,PDTN 2026: Old Topics
2026-07-29,All Day,PDTN 2026: Old Topics
